Time (ms),Membrane Potential (mV)
0.0,-65.0
0.2503128911138924,-63.25
0.5006257822277848,-61.556875
0.7509386733416772,-59.86091765234375
1.0012515644555695,-58.105066189716645
1.2515644555694618,-56.2269861416171
1.5018773466833544,-54.150264358343854
1.7521902377972467,-51.7720405781274
2.002503128911139,-48.94278666574016
2.2528160200250316,-45.42970485676957
2.5031289111389237,-40.84460592964423
2.753441802252816,-34.48870666147244
3.0037546933667088,-24.981975811995596
3.254067584480601,-9.253041467629462
3.5043804755944934,30.0
3.7546933667083855,-65.0
4.005006257822278,-65.329278202871
4.25531914893617,-65.63061186323523
4.505632040050063,-65.90355964009957
4.755944931163955,-66.14822261272701
5.006257822277847,-66.36516656958713
5.25657071339174,-66.55533593081175
5.506883604505632,-66.71996630894652
5.7571964956195245,-66.86050125236324
6.0075093867334175,-66.97851706847102
6.25782227784731,-67.07565804201933
6.508135168961202,-67.15358301182704
6.758448060075094,-67.21392322664465
7.008760951188987,-67.25825067950547
7.259073842302879,-67.28805568726284
7.509386733416771,-67.30473228248195
7.759699624530664,-67.30956995652
8.010012515644556,-67.30375037789855
8.260325406758449,-67.28834786125775
8.51063829787234,-67.2643325432485
8.760951188986233,-67.2325754076795
9.011264080100126,-67.19385447735625
9.261576971214017,-67.14886164568098
9.51188986232791,-67.09820975359116
9.762202753441803,-67.04243962644696
10.012515644555695,-66.98202687263424
10.262828535669588,-66.91738831352498
10.51314142678348,-66.84888796599424
10.763454317897372,-66.77684253686411
11.013767209011265,-66.7015264161175
11.264080100125158,-66.62317617483413
11.514392991239049,-66.54199458650801
11.764705882352942,-66.45815419830497
12.015018773466835,-66.37180048318245
12.265331664580726,-66.28305460561297
12.51564455569462,-66.19201583368668
12.76595744680851,-66.09876362918973
13.016270337922403,-66.00335944528518
13.266583229036296,-65.90584825896902
13.516896120150188,-65.80625986275042
13.76720901126408,-65.70460993716092
14.017521902377974,-65.60090092282651
14.267834793491865,-65.49512270799865
14.518147684605758,-65.38725314465972
14.76846057571965,-65.27725840360493
15.018773466833542,-65.1650931762427
15.269086357947435,-65.05070072822775
15.519399249061328,-64.93401280740765
15.76971214017522,-64.81494940588293
16.020025031289112,-64.6934183731949
16.270337922403005,-64.56931487470054
16.520650813516898,-64.44252068598948
16.770963704630788,-64.31290331065237
17.02127659574468,-64.1803149047069
17.271589486858574,-64.04459098639074
17.521902377972467,-63.90554890466846
17.77221526908636,-63.76298603346066
18.022528160200253,-63.61667765102355
18.272841051314142,-63.46637445474844
18.523153942428035,-63.31179965048818
18.773466833541928,-63.152645541798776
19.02377972465582,-62.9885695274996
19.274092615769714,-62.81918939477659
19.524405506883607,-62.6440777684608
19.774718397997496,-62.46275554349813
20.02503128911139,-62.27468408483624
20.275344180225282,-62.07925592410344
20.525657071339175,-61.87578361163226
20.77596996245307,-61.66348629024249
21.02628285356696,-61.44147343638073
21.27659574468085,-61.20872505446365
21.526908635794744,-60.96406739718193
21.777221526908637,-60.70614299761946
22.02753441802253,-60.433373408911585
22.277847309136423,-60.143912511030564
22.528160200250316,-59.83558749912652
22.778473091364205,-59.50582361955013
23.028785982478098,-59.151547225573765
23.27909887359199,-58.76905956519934
23.529411764705884,-58.35387054406658
23.779724655819777,-57.900476977948514
24.03003754693367,-57.40206266690153
24.28035043804756,-56.85008649734559
24.530663329161452,-56.233707169365324
24.780976220275345,-55.53896460775337
25.03128911138924,-54.74759063193671
25.28160200250313,-53.835240111381346
25.53191489361702,-52.76878982404647
25.782227784730914,-51.50208769931239
26.032540675844807,-49.96902833032119
26.2828535669587,-48.071811772374666
26.533166458072593,-45.660076632131045
26.783479349186486,-42.491682048829844
27.033792240300375,-38.15385008634113
27.284105131414268,-31.890857939958558
