Time (ms),Membrane Potential (mV)
0.0,-65.0
0.2503128911138924,-63.25
0.5006257822277848,-61.556875
0.7509386733416772,-59.86266765234375
1.0012515644555695,-58.11204915197381
1.2515644555694618,-56.244705491742685
1.5018773466833544,-54.18690836601281
1.7521902377972467,-51.83974277791491
2.002503128911139,-49.059972405673676
2.2528160200250316,-45.62561626630347
2.5031289111389237,-41.16859313291846
2.753441802252816,-35.03099892556787
3.0037546933667088,-25.92551809127086
3.254067584480601,-11.022844455519513
3.5043804755944934,30.0
3.7546933667083855,-65.0
4.005006257822278,-64.11458535146677
4.25531914893617,-63.24398721057516
4.505632040050063,-62.373955258928945
4.755944931163955,-61.49091953974577
5.006257822277847,-60.58102723666416
5.25657071339174,-59.629184399979515
5.506883604505632,-58.617961978620585
5.7571964956195245,-57.52619937184219
6.0075093867334175,-56.32706858806783
6.25782227784731,-54.98522225622332
6.508135168961202,-53.45238145316629
6.758448060075094,-51.660199502924335
7.008760951188987,-49.5081855398058
7.259073842302879,-46.84222417616539
7.509386733416771,-43.41410529613571
7.759699624530664,-38.79985329297385
8.010012515644556,-32.22042884123345
8.260325406758449,-22.10407368944425
8.51063829787234,-4.8604169437181
8.760951188986233,30.0
9.011264080100126,-65.0
9.261576971214017,-64.69849213167134
9.51188986232791,-64.37493828352069
9.762202753441803,-64.02963406535605
10.012515644555695,-63.66243356333051
10.262828535669588,-63.272738872027844
10.51314142678348,-62.85947445735444
10.763454317897372,-62.42104298290528
11.013767209011265,-61.9552580235237
11.264080100125158,-61.459247229741514
11.514392991239049,-60.9293167222406
11.764705882352942,-60.360763330505506
12.015018773466835,-59.74761499048046
12.265331664580726,-59.08226992428568
12.51564455569462,-58.354990003899395
12.76595744680851,-57.55317923442648
13.016270337922403,-56.66033794152921
13.266583229036296,-55.654514775285314
13.516896120150188,-54.50595870248489
13.76720901126408,-53.173455437999024
14.017521902377974,-51.59842126067447
14.267834793491865,-49.695012654691546
14.518147684605758,-47.33280981349196
14.76846057571965,-44.30485427987367
15.018773466833542,-40.26478651156129
15.269086357947435,-34.59322212666456
15.519399249061328,-26.084741864579307
15.76971214017522,-12.117269780593553
16.020025031289112,30.0
16.270337922403005,-65.0
16.520650813516898,-64.86838641511653
16.770963704630788,-64.70272062774208
17.02127659574468,-64.50534394895455
17.271589486858574,-64.27817852991376
17.521902377972467,-64.02271257001802
17.77221526908636,-63.73999020936978
18.022528160200253,-63.430601132148084
18.272841051314142,-63.094665472687154
18.523153942428035,-62.73180986310826
18.773466833541928,-62.341130317289604
19.02377972465582,-61.921137026199865
19.274092615769714,-61.469674916933215
19.524405506883607,-60.98381179418628
19.774718397997496,-60.45968269443113
20.02503128911139,-59.8922741704387
20.275344180225282,-59.27512463955361
20.525657071339175,-58.59990507484454
20.77596996245307,-57.85582544483306
21.02628285356696,-57.02878157038564
21.27659574468085,-56.10010568361173
21.526908635794744,-55.044695497704176
21.777221526908637,-53.82813909291443
22.02753441802253,-52.40216177386793
22.277847309136423,-50.697159268540545
22.528160200250316,-48.60944291450809
22.778473091364205,-45.97837848977661
23.028785982478098,-42.54299046616629
23.27909887359199,-37.853653153637694
23.529411764705884,-31.0762606450796
23.779724655819777,-20.508097957827808
24.03003754693367,30.0
24.28035043804756,-65.0
24.530663329161452,-64.84419729812603
24.780976220275345,-64.6560870540735
25.03128911138924,-64.43777850013447
25.28160200250313,-64.19094513207173
25.53191489361702,-63.91681602946557
25.782227784730914,-63.61616842693283
26.032540675844807,-63.28931700955192
26.2828535669587,-62.93609581523968
26.533166458072593,-62.5558286670029
26.783479349186486,-62.14728366001307
27.033792240300375,-61.70860629338987
27.284105131414268,-61.23722420232943
27.53441802252816,-60.72971384251585
27.784730913642054,-60.18161545712391
